incomeId,budgetId,name,amount,type,date,from,note
1,19,"txVyLz",203.49,"other",2011-08-11,"nyAbeb","SYxoGHAfUA"
2,42,"MvKNxX",360.86,"clothing",2019-07-19,"oEUlZt","sgxypacxdH"
3,3,"cwqHov",146.95,"gift",2014-09-25,"XYLeEL","qMgoocDefx"
4,37,"LMDLey",455.16,"salary",2020-06-25,"pNWDyv","mnDEhaXQbx"
5,16,"CRDGow",442.75,"clothing",2018-03-29,"eEByOo","vzbgVqrQaL"
6,12,"xTNnFj",124.02,"interest",2011-04-18,"hCMqOn","kKctbpMdni"
7,38,"aQGrub",14.98,"investment",2008-03-03,"ZzHWes","apxlTZlxZC"
8,6,"BXbpGu",179.14,"investment",2013-06-16,"PlPILu","JCOkvTFTtU"
9,20,"bQIJDR",150.41,"interest",2009-02-24,"Hkavgx","dMLutvXUsf"
10,17,"KbCptZ",292.3,"interest",2019-01-15,"fcJTPI","BoQNRLHvKf"
11,41,"fhNVNA",300.88,"salary",2014-04-21,"yWLxyN","ozIuyVKmru"
12,18,"MeKgcm",294.09,"interest",2018-11-15,"mHXWLr","ewtyraPNjH"
13,30,"FOxUaJ",418.15,"salary",2011-02-04,"MYyDru","BPDOCeqYXp"
14,27,"lAokpE",12.08,"investment",2010-08-14,"NXkZZW","udtPJbqUwA"
15,15,"ypCoHj",167.41,"other",2013-06-20,"TbiYuX","XAQjElFtNX"
16,25,"ofrpwN",301.83,"clothing",2021-03-10,"FCzuFC","DEYQoDWxDW"
17,8,"Nmootf",3.85,"investment",2008-03-09,"bwjwZx","fUdXukaLIc"
18,23,"sMOABp",341.06,"interest",2011-02-12,"bmttkb","ElXZKKYiSW"
19,21,"ofYdkr",244.24,"salary",2008-09-28,"RDdQVs","JstmYMyfwX"
20,12,"ixpcDm",258.04,"interest",2014-06-05,"XjeBNs","CFrHZVkkaI"
21,44,"bauiJx",12.12,"interest",2008-05-14,"EPqRis","HTspylBygH"
22,22,"QLhOfP",72.62,"investment",2008-05-22,"KpQBKR","XzdfVmCOYs"
23,27,"bPyYzn",281.56,"gift",2017-08-17,"lUTZQy","joopvSALaQ"
24,3,"kkbdYO",341.27,"investment",2016-05-04,"JiuZIX","fSQTuYdtyg"
25,27,"PMuCFC",299.39,"other",2020-11-20,"XsIMCc","DWyfXRlbbf"
26,20,"pyNvKG",369.14,"investment",2017-08-15,"OzLMCJ","SukUBzBUai"
27,45,"MZspxZ",423.6,"investment",2016-08-20,"qNMKpb","vEiSXIDoNR"
28,9,"AWsfNt",256.64,"investment",2014-02-19,"SJRPQo","HeJMcQttNQ"
29,5,"VvSOlK",109.97,"clothing",2008-01-18,"QTNyBk","PrbRHtgZfZ"
30,18,"IXQjZc",151.15,"salary",2021-05-28,"mraiBs","VEjfOgUbkD"
31,5,"UkcSuy",90.15,"gift",2020-06-22,"lIusky","BUZLomYCrE"
32,38,"rYcybd",201.16,"interest",2017-09-27,"EqQTYK","qLtvrCEfIw"
33,7,"rooDcD",95.03,"salary",2015-02-27,"eoFjyH","fsIyXveDPD"
34,4,"bROkRK",444.13,"clothing",2011-06-18,"bHkDMj","szbcHgFBIK"
35,7,"fOBsDH",364.16,"investment",2019-10-14,"umVqKc","brpLqJOjrP"
36,49,"ETPqNI",360.9,"interest",2014-01-18,"tmrMaE","ShKqvSpGwK"
37,15,"rJoIAX",91.63,"salary",2014-07-16,"IcorVd","lKRlvIKUfM"
38,2,"NzBmUA",376.83,"interest",2017-11-13,"ZaVqRc","CGXZvPbUQR"
39,4,"IwUEGV",450.09,"clothing",2012-05-19,"nTIpRC","fEEStrPAYh"
40,30,"RbeOfX",36.17,"other",2019-03-14,"hEcalD","OvPxWzXMrF"
41,31,"EXecLs",323.79,"gift",2014-02-07,"Xvhsfu","qDRrwrBPEj"
42,15,"yLkiAa",439.57,"interest",2015-03-21,"OsnEJz","ZqolHbdBEt"
43,5,"ucXraL",301.91,"gift",2016-05-17,"HMmQlv","zxtoPGyeXL"
44,6,"olDPXU",132.66,"interest",2013-09-30,"tADMSM","QKTdQnmwXj"
45,49,"RYbbME",405.32,"investment",2011-02-21,"oSVBjX","BYtpQBnAuS"
46,37,"yNXhUF",175.42,"other",2012-11-13,"DhtFPI","DLihHhRLWZ"
47,1,"eGsIlZ",293.41,"interest",2014-03-22,"GFBrVf","JAJoWyayor"
48,16,"KgPjLz",109.86,"interest",2015-07-20,"gOLecH","RNKEThpiLj"
49,35,"OqeyCn",320.35,"other",2019-12-14,"sQZAMo","BwyoWxEIfW"
50,6,"mCdtNS",221.92,"interest",2016-03-18,"YDzbxK","XfeARtpsGh"